BuildingID;Score
96274288c84ddd7d5c5d8e425ee75027;2,4595
11e1dec9d14b1a9e528386a2504b3afc;2,3095
80a120d6bc3aba97f40fee8c2204524b;2,2845
bb8658a3e432fb62a440615333376345;2,1695
f68bf347f99df026f4faad43cc604048;2,0745
c94301249b8c09429d329864d58e5b82;1,5995
ce6d18bf3238e668b2bf23f4110b7b67;1,5895
57ef86c28a8ae482dc3a3c3af28e8e48;1,4895
128d4af0683efc5e1eded8dc8044d5e3;1,4545
d0234abbc01a982d54e8d446acc03405;1,4445
9c18bf871b97492b96d8ddb800591f1b;1,3895
8e3b8c607c3edcf3de131c24f0390179;1,3695
cb14c4f807f23ecee1f7469b5159d2de;1,3495
ea9045106c4e1fe52853b6af941f1c69;1,3095
7967a1280bf3f7644500fc79d2696b0e;1,3045
a01c99eb2cfdde327e1691e17d6696ba;1,2245
093f64f52a6e43ba5e8f12bec8200554;1,2195
18f6eb16d2f3e9885cb4a5d0a40791c6;1,2095
5565db9b7cba3603834c4aa6f2950960;1,2045
dd7b281c0dbafc8b53575ab78cca75d4;1,1645
3a956bd42c50f06ac84cf072fc514f5f;1,1645
6ce872b483cfcbb32ea805604d44ef5f;1,1395
ec12b4db154a9c75983f5e32edd93843;1,0945
aed67db466854ec2aa5d249a032bc401;1,0345
93cd24891f8423d45ac587ab1fdb1225;1,0045
80911ce8a425daf4989ea8a4bccc41a7;0,9845
1be9c496f7bdff4a552e3d4e91f915f8;0,9845
300d27d8ba2adbcbc8c6f2bcbc1c6f9d;0,9745
c40e3e74475a91aae1928541be8df678;0,9695
6134e7c4dd1a98d9aee36623c9872b49;0,9495
1baadc9bc38b3ccaaf9704e7442f2672;0,9445
2787598123c55dbf45b514958909c79c;0,9345
75968833fe814f3a5236959790fb4984;0,9295
5443e4c4f6eef3e2b17e22f9f6d32165;0,9145
28d9ad350afeaab8027513a3e52ac8d5;0,8695
d16f875956b264d5920d8424631091d4;0,8495
ff042714a26de9f1ccc1d1a683767740;0,8495
b3b3bb23497fedb4e68dfa182e272bb2;0,8345
67bc2a137a7fcf2e878a79a195f1b614;0,8295
766241ad10fb6a35b12b03758d86cd5c;0,8245
a36895b9975c6991ca0fa1d9a99023a1;0,8095
7bb43faedaa98b0a6d1e8b1195515551;0,8095
a433bb20f3f94e3f3e6700286e351638;0,8045
daa8602f26a65e59d7bf579b06342860;0,7995
bfb9405149bfff42a92980b594c28234;0,7695
39e0fd76dd41985daf2ef025357827ae;0,7645
179f2afd60cfb6fdb88e0221735d0eac;0,7595
9c926bb8e5354ae22f3ebaaa3d1ee282;0,7495
f115a9bff3a9c4e6eedc9114374b3d74;0,7395
be6b7c3fdf3f63a2756306f4af7788a6;0,7395
e9ae1ce23f3c4c16e0861b60d69b2a6f;0,7245
1a6cf9b71da65cdc0cfd5015a75317ac;0,7145
81062936e12ee5fa6cd2b965698e17d5;0,6895
70093585319d049535fdc64e4f387da3;0,6895
ced6c1dc5241c92d153d2945cb391342;0,6845
379a891accd668964c9d2080cce45179;0,6745
d4f23121dc558fba3efe1479257b664e;0,6595
f948a1e1e0900e17aa9d002da3d7d453;0,6595
ec447453d3b8033e14a7b54ba1e13e02;0,6595
adc60175c23f23a9b3cf3899c7cf4842;0,6345
f11bff016a02f774e99f82cd1d94def7;0,6345
cd759a988b8f23924b5a2058d5ab2b49;0,6245
05b871a1e1e0368391160bcefc608e00;0,6245
d6c345de3f342d611ea0dd21eabe68e2;0,5795
eb4a89fa59ccddd7ff88fa63d2848291;0,5695
cb0ecd5356125b546833239efdb154c2;0,5645
ea11299b288bdb7e740fc2dccfc3b140;0,5595
7795f384b5768b121136a7cec3f22c07;0,5595
71450f00d46e576bfcc0cc5b18825284;0,5495
240c90a25f43280bd489939f99e98723;0,5395
929a5d1d6720055e7d008c987e86d415;0,5395
1edde1c89233fb1b1a38c53e992b0756;0,5345
0aa1e10d1f77ce334a02ecd84558f439;0,5245
ad67f6181a49bde19218929b401b31b7;0,5145
c0ae658e2ffa1d5bfbc2c2625b6d766d;0,4845
8b4babec70084a44f7b14506bd569a77;0,4695
6044ee8444a0a169fce1eba7867f5791;0,4695
d3a565182adf8bd9c5b033bb12757366;0,4645
65f6788d6d66716fbd8a4ef6d27d6f3f;0,4495
c3ba40552e2120b0acfc3cb5730bb2aa;0,4495
83ec3cf6c56a458b9f0cc455fee2d000;0,4395
82add339ac22b95563b3ad8395f1ab9c;0,4395
38d6074584d4a6d34fe97a8af38f341e;0,4245
62772db889c5fd564f47eb5d46e64e4e;0,4195
e0f787c39be40769fb269c641078eb50;0,4195
9ee9871e5e662aae354a4e140aab7f2c;0,4145
297160caf8a88c10718b492d4672c6b4;0,4095
8dbdafdf2f5f3ac31ecd0c41c6858669;0,3995
46b5fd6e1ed6d002f5e6557f7e25bce1;0,3995
78e50c94b33bb1ceeb5f4c8ff7455703;0,3945
57efa26ca6f2a3a6120e0f2e3972c39b;0,3795
67da189c736c7a3869ba9c98425ea254;0,3795
2a21319016fe50100e0b8ebb5a4f9cf0;0,3795
ddb8663b8c4a089684384035e53d9cb8;0,3345
f45ba6d22add6d2c30bb2256dd715901;0,3295
9de7a063f2369398857b0cadd3b1586e;0,3295
14ad2afd9e6a05d708e2982bfd88993b;0,3245
18b2a8a9109265cb7b369a925e384f87;0,3145
665f4f6eb9a097fb213f99950b835b9a;0,3145
d0abe4831a16dccf81693660ad670463;0,3095
20623ec2c6e1962d917680bfd1535d8a;0,2845
2094beb4097c7f56670afba5b01b31a4;0,2745
8994778bc2a2ca65aa25030c2c0ec9de;0,2745
d19f4e0bc32610797a7ff5f1737be546;0,2695
b8e75fc949a6cd8225b455648a951712;0,2695
4c82773ff23782a525c36ff0699cb153;0,2645
e3f53dfe045875f250622856c0923deb;0,2645
04bfd6f28be788e8c9ff61deb8f39f6c;0,2595
f4fce2be9d94d6ee2f4449db343ff8e4;0,2595
ddb09ce9e9a73eb2d2132a7ae9bc4861;0,2595
d89f514c3ed0abaae52cba7017ac0701;0,2595
d5f0baa9291f0a7160605019929b288d;0,2545
4d7c804afea366c666731bee9c56919e;0,2495
a07d25f014240f198ace788470c972ce;0,2445
52080fcf0bc0830714121bbc2e93b0ec;0,2395
a1bd0631f4febfb498e34b7cf68bcfb1;0,2395
35784800ca930a77ea64d2e67f001b33;0,2345
96835a48bbe776c37aec3dc0f3df8887;0,2345
92eb9815bc5e392fcc6a22d85255ab3b;0,2295
6e01d34a60782126c24526cf72878117;0,2245
e87f1236b102798c1fa104a372800444;0,2195
65ce068d10ade85cc097134c0f6836c2;0,2195
aa8317c458b54ca213f320059afca150;0,2045
56ccbba416736951d8f4e7a08c214fcf;0,1995
951043fbb2622b2ab0e0623366d9f6dd;0,1945
666528e985767507d12d936bb5d07b28;0,1895
c68228003fc68fe61bb1f2b398cd05ad;0,1895
607b649dc7d022357d0145482288a0b1;0,1845
9fc5b7d391cc9c2e36102e496344e29f;0,1745
0d01cabe55fa5192cdbcabd5c585c1ea;0,1645
